command: ./svp_tool L_112 --ind_l 2 --ind_r 110 --msd 100 --threads 64 -v 3 
begin bgj1 sieve on context [62, 108], gh = 870.86, pool size = 6213, 64 threads will be used..done, time = 0.00s
begin bgj1 sieve on context [61, 108], gh = 894.77, pool size = 6213, 64 threads will be useddone, time = 0.00s
begin bgj1 sieve on context [60, 108], gh = 918.77, pool size = 6213, 64 threads will be used..done, time = 0.00s
begin bgj1 sieve on context [59, 108], gh = 942.91, pool size = 6213, 64 threads will be used...done, time = 0.00s
begin bgj1 sieve on context [58, 108], gh = 969.09, pool size = 6213, 64 threads will be used..done, time = 0.00s
begin bgj1 sieve on context [57, 108], gh = 994.87, pool size = 6213, 64 threads will be used...done, time = 0.01s
begin bgj1 sieve on context [56, 108], gh = 1019.32, pool size = 6213, 64 threads will be used.done, time = 0.00s
begin bgj1 sieve on context [55, 108], gh = 1045.22, pool size = 6213, 64 threads will be used..done, time = 0.00s
begin bgj1 sieve on context [54, 108], gh = 1070.89, pool size = 6546, 64 threads will be used..done, time = 0.00s
begin bgj1 sieve on context [53, 108], gh = 1097.77, pool size = 7559, 64 threads will be used...done, time = 0.01s
begin bgj1 sieve on context [52, 108], gh = 1125.32, pool size = 8729, 64 threads will be used...done, time = 0.01s
begin bgj1 sieve on context [51, 108], gh = 1152.73, pool size = 10079, 64 threads will be used...done, time = 0.02s
begin bgj1 sieve on context [50, 108], gh = 1180.06, pool size = 11638, 64 threads will be used..done, time = 0.00s
begin bgj1 sieve on context [49, 108], gh = 1204.79, pool size = 13439, 64 threads will be used...done, time = 0.01s
begin bgj1 sieve on context [48, 108], gh = 1228.77, pool size = 15512, 64 threads will be used...done, time = 0.01s
begin bgj1 sieve on context [47, 108], gh = 1252.58, pool size = 17917, 64 threads will be used...done, time = 0.01s
begin bgj1 sieve on context [46, 108], gh = 1277.58, pool size = 20679, 64 threads will be used..done, time = 0.01s
begin bgj1 sieve on context [45, 108], gh = 1301.59, pool size = 23875, 64 threads will be used....done, time = 0.02s
begin bgj1 sieve on context [44, 108], gh = 1326.46, pool size = 27580, 64 threads will be used....done, time = 0.01s
begin bgj1 sieve on context [43, 108], gh = 1352.06, pool size = 31844, 64 threads will be used....done, time = 0.03s
begin bgj1 sieve on context [42, 108], gh = 1377.54, pool size = 36770, 64 threads will be used.....done, time = 0.03s
begin bgj1 sieve on context [41, 108], gh = 1403.79, pool size = 42462, 64 threads will be used.......done, time = 0.07s
begin bgj1 sieve on context [40, 108], gh = 1429.76, pool size = 49029, 64 threads will be used.....done, time = 0.04s
begin bgj1 sieve on context [39, 108], gh = 1455.18, pool size = 56598, 64 threads will be used.......done, time = 0.06s
begin bgj1 sieve on context [38, 108], gh = 1481.83, pool size = 65383, 64 threads will be used.......done, time = 0.08s
begin bgj1 sieve on context [37, 108], gh = 1509.02, pool size = 75502, 64 threads will be used.........done, time = 0.10s
begin bgj1 sieve on context [36, 108], gh = 1535.66, pool size = 87150, 64 threads will be used..........done, time = 0.21s
begin bgj1 sieve on context [35, 108], gh = 1563.06, pool size = 100671, 64 threads will be used.............done, time = 0.38s
begin bgj1 sieve on context [34, 108], gh = 1591.00, pool size = 116253, 64 threads will be used............done, time = 0.16s
begin bgj1 sieve on context [33, 108], gh = 1619.02, pool size = 134218, 64 threads will be used............done, time = 0.19s
begin bgj1 sieve on context [32, 108], gh = 1647.16, pool size = 154994, 64 threads will be used...............done, time = 0.25s
begin bgj1 sieve on context [31, 108], gh = 1675.06, pool size = 178866, 64 threads will be used...............done, time = 0.37s
begin bgj1 sieve on context [30, 108], gh = 1703.17, pool size = 206618, 64 threads will be used..............done, time = 0.41s
begin bgj1 sieve on context [29, 108], gh = 1731.81, pool size = 238625, 64 threads will be used................done, time = 0.41s
begin bgj1 sieve on context [28, 108], gh = 1760.78, pool size = 275554, 64 threads will be used.................done, time = 0.58s
begin bgj2 sieve on context [27, 108], gh = 1790.09, pool size = 318180, 64 threads will be used.........done, time = 0.62s
begin bgj2 sieve on context [26, 108], gh = 1819.67, pool size = 367377, 64 threads will be used............done, time = 0.75s
begin bgj2 sieve on context [25, 108], gh = 1848.57, pool size = 424151, 64 threads will be used............done, time = 0.79s
begin bgj2 sieve on context [24, 108], gh = 1878.03, pool size = 489845, 64 threads will be used.............done, time = 0.93s
begin bgj2 sieve on context [23, 108], gh = 1907.98, pool size = 565606, 64 threads will be used..............done, time = 1.05s
begin bgj2 sieve on context [22, 108], gh = 1938.52, pool size = 653146, 64 threads will be used...............done, time = 1.28s
begin bgj2 sieve on context [21, 108], gh = 1968.96, pool size = 754068, 64 threads will be used...............done, time = 1.46s
begin bgj2 sieve on context [20, 108], gh = 1998.89, pool size = 870672, 64 threads will be used...............done, time = 1.66s
begin bgj2 sieve on context [19, 108], gh = 2029.87, pool size = 1005547, 64 threads will be used................done, time = 2.08s
begin bgj2 sieve on context [18, 108], gh = 2061.04, pool size = 1161165, 64 threads will be used..................done, time = 2.49s
